Destination,State/Region,Category,Best Season to Visit,Popular Activities,Average Budget,Visitor Ratings,Number of Reviews,State,Rating,Budget_Level,Preferred_Activity,Season_Preference,User_Age_Group,Preferred_Travel_Type
Goa,Rajasthan,Beach,Monsoon,Cultural Tour,High,1.0,368.0,,,,,,,
Shillong,Uttar Pradesh,Wildlife,Winter,Trekking,High,2.5,13.0,,,,,,,
Darjeeling,Uttar Pradesh,Adventure,All Year,Water Sports,Medium,3.3,435.0,,,,,,,
Shimla,Uttarakhand,Wildlife,Monsoon,Cultural Tour,Low,2.9,406.0,,,,,,,
Goa,Uttar Pradesh,Heritage,Summer,Water Sports,Medium,4.4,363.0,,,,,,,
Mysore,Uttar Pradesh,Wildlife,Monsoon,Relaxation,Low,1.4,115.0,,,,,,,
Agra,Rajasthan,Wildlife,Summer,Trekking,Low,3.2,94.0,,,,,,,
Andaman,Rajasthan,Adventure,All Year,Cultural Tour,Low,3.1,223.0,,,,,,,
Prayagraj,Karnataka,Wildlife,Monsoon,Sightseeing,Low,2.1,130.0,,,,,,,
Prayagraj,Rajasthan,Adventure,Winter,Relaxation,Medium,4.3,141.0,,,,,,,
,Uttar Pradesh,Heritage,Winter,Water Sports,High,4.0,347.0,,,,,,,
Mysore,West Bengal,Adventure,Monsoon,Cultural Tour,High,3.9,206.0,,,,,,,
Sikkim,Kerala,Beach,All Year,Trekking,High,4.5,28.0,,,,,,,
Badrinath,Sikkim,Adventure,All Year,Wildlife Safari,High,3.9,139.0,,,,,,,
Haridwar,Uttarakhand,Heritage,Winter,Sightseeing,High,1.9,21.0,,,,,,,
,Rajasthan,Spiritual,Monsoon,Water Sports,High,3.8,90.0,,,,,,,
Kolkata,Uttarakhand,Wildlife,All Year,Relaxation,Medium,2.2,339.0,,,,,,,
Pondicherry,Delhi,Adventure,Winter,Trekking,Low,2.0,363.0,,,,,,,
Kolkata,Uttar Pradesh,Wildlife,Summer,Sightseeing,High,1.3,271.0,,,,,,,
Delhi,Himachal Pradesh,Hill Station,Monsoon,Trekking,Medium,7.719378678972621,401.0,,,,,,,
Goa,Uttar Pradesh,Beach,Summer,Cultural Tour,High,3.8,134.0,,,,,,,
Varanasi,West Bengal,Beach,Summer,Wildlife Safari,High,1.9,316.0,,,,,,,
Ranthambore,Karnataka,Hill Station,All Year,Relaxation,Low,4.0,276.0,,,,,,,
Munnar,Sikkim,Hill Station,All Year,Trekking,Low,4.7,456.0,,,,,,,
Mysore,Punjab,Adventure,All Year,Water Sports,meduim,1.4,450.0,,,,,,,
Andaman,West Bengal,Hill Station,Monsoon,Cultural Tour,High,1.9,392.0,,,,,,,
Agra,Uttar Pradesh,Spiritual,Summer,Cultural Tour,High,4.0,149.0,,,,,,,
Prayagraj,Meghalaya,Wildlife,Monsoon,Relaxation,High,2.1,338.0,,,,,,,
,West Bengal,Wildlife,All Year,Cultural Tour,Low,3.5,11.0,,,,,,,
Amritsar,Uttarakhand,Heritage,Summer,Water Sports,Medium,1.3,17.0,,,,,,,
Ooty,Uttarakhand,Hill Station,Monsoon,Trekking,High,2.8,259.0,,,,,,,
Jaipur,Punjab,Hill Station,Monsoon,Relaxation,High,4.0,148.0,,,,,,,
Kedarnath,West Bengal,Hll Station,Winter,Cultural Tour,High,3.7,133.0,,,,,,,
Mussoorie,Uttar Pradesh,Beach,Monsoon,Cultural Tour,Medium,4.3,318.0,,,,,,,
Jaisalmer,Kerala,Beach,All Year,Water Sports,High,4.5,237.0,,,,,,,
Amritsar,Uttarakhand,Wildlife,Monsoon,Wildlife Safari,Medium,4.1,19.0,,,,,,,
Varanasi,Punjab,Wildlife,Summer,Wildlife Safari,High,3.7,478.0,,,,,,,
Varanasi,Uttarakhand,Adventure,Monsoon,Cultural Tour,Medium,1.1,221.0,,,,,,,
Manali,Delhi,Spiritual,Winter,Trekking,High,3.1,121.0,,,,,,,
Kerala,Uttar Pradesh,Heritage,Summer,Relaxation,Low,1.2,17.0,,,,,,,
Sikkim,Sikkim,Heritage,Summer,Cultural Tour,Low,4.2,301.0,,,,,,,
Ooty,Uttar Pradesh,Spiritual,Winter,Sightseeing,Low,9.891376634640087,486.0,,,,,,,
Manali,Tamil Nadu,Heritage,All Year,Relaxation,Low,8.859593752309154,371.0,,,,,,,
,Puducherry,Beach,Summer,Wildlife Safari,High,8.133233449834963,469.0,,,,,,,
Prayagraj,Karnataka,Heritage,All Year,Cultural Tour,Low,4.1,262.0,,,,,,,
Jaisalmer,Rajasthan,Heritage,Summer,Water Sports,Medium,4.5,23.0,,,,,,,
Munnar,Puducherry,Spiritual,Summer,Sightseeing,Low,2.6,249.0,,,,,,,
Agra,Ladakh,Spiritual,All Year,Cultural Tour,Low,4.5,447.0,,,,,,,
Andaman,Andaman & Nicobar,Heritage,Summer,Trekking,Low,2.1,251.0,,,,,,,
Agra,Karnataka,Hill Station,All Year,Sightseeing,High,3.1,478.0,,,,,,,
Munnar,Uttarakhand,Spiritual,Winter,Cultural Tour,Low,4.4,351.0,,,,,,,
Prayagraj,Uttar Pradesh,Adventure,All Year,Trekking,Medium,2.3,158.0,,,,,,,
Pondicherry,Meghalaya,Adventure,Winter,Sightseeing,Low,4.8,245.0,,,,,,,
Agra,Puducherry,Beach,Summer,Trekking,Low,1.5,315.0,,,,,,,
Badrinath,Punjab,Heritage,All Year,Trekking,Low,1.1,487.0,,,,,,,
Agra,Goa,Hill Station,Summer,Sightseeing,Medium,4.6,176.0,,,,,,,
Jaisalmer,Rajasthan,Beach,All Year,Sightseeing,Low,9.857952900095416,29.0,,,,,,,
Amritsar,Puducherry,Heritage,Winter,Trekking,Medium,5.0,225.0,,,,,,,
Sikkim,Rajasthan,Spiritual,Winter,Wildlife Safari,Medium,4.8,352.0,,,,,,,
,Uttar Pradesh,Adventure,All Year,Sightseeing,Low,1.5,144.0,,,,,,,
Pondicherry,Karnataka,Wildlife,Winter,Cultural Tour,meduim,3.2,402.0,,,,,,,
Pondicherry,Goa,Hill Station,Summer,Relaxation,High,1.7,138.0,,,,,,,
Varanasi,Andaman & Nicobar,Wildlife,Summer,Water Sports,Low,2.7,419.0,,,,,,,
,Rajasthan,Adventure,Monsoon,Trekking,Low,1.2,431.0,,,,,,,
Haridwar,Kerala,Wildlife,Winter,Trekking,Medium,1.9,303.0,,,,,,,
Amritsar,Himachal Pradesh,Spiritual,Summer,Water Sports,Medium,2.5,255.0,,,,,,,
Munnar,Delhi,Heritage,All Year,Wildlife Safari,Low,2.8,198.0,,,,,,,
Darjeeling,Rajasthan,Spiritual,Winter,Water Sports,High,4.9,53.0,,,,,,,
,Meghalaya,Wildlife,Summer,Sightseeing,Medium,4.2,95.0,,,,,,,
Varanasi,Karnataka,Spiritual,Winter,Water Sports,Medium,3.9,53.0,,,,,,,
Ranthambore,Andaman & Nicobar,Adventure,All Year,Trekking,High,3.1,339.0,,,,,,,
Mysore,Goa,Hill Station,Summer,Water Sports,High,4.4,384.0,,,,,,,
Mussoorie,Uttar Pradesh,Hll Station,Monsoon,Relaxation,Low,2.4,455.0,,,,,,,
Delhi,Uttarakhand,Hll Station,Monsoon,Cultural Tour,High,3.8,387.0,,,,,,,
Ranthambore,Rajasthan,Hill Station,Winter,Sightseeing,Low,6.88279629914134,399.0,,,,,,,
Rishikesh,Rajasthan,Hll Station,All Year,Water Sports,High,2.3,154.0,,,,,,,
Varanasi,Uttar Pradesh,Hll Station,Summer,Trekking,Medium,3.7,60.0,,,,,,,
,Uttar Pradesh,Heritage,All Year,Cultural Tour,Low,4.4,251.0,,,,,,,
Shillong,Rajasthan,Beach,Summer,Sightseeing,Low,4.7,303.0,,,,,,,
Hampi,Punjab,Hll Station,Winter,Trekking,Low,3.9,417.0,,,,,,,
Rajasthan,Andaman & Nicobar,Hll Station,Summer,Wildlife Safari,High,7.157745472120087,60.0,,,,,,,
Jaipur,Goa,Spiritual,All Year,Relaxation,Medium,9.848851640463778,275.0,,,,,,,
Chennai,Kerala,Heritage,All Year,Wildlife Safari,Low,1.1,129.0,,,,,,,
Pondicherry,Uttar Pradesh,Hill Station,Winter,Relaxation,Low,4.0,209.0,,,,,,,
Kerala,Ladakh,Adventure,All Year,Water Sports,Low,1.2,414.0,,,,,,,
Ladakh,Punjab,Beach,Summer,Sightseeing,meduim,4.5,257.0,,,,,,,
Sikkim,Tamil Nadu,Heritage,Winter,Water Sports,Medium,1.5,79.0,,,,,,,
,Kerala,Wildlife,Summer,Relaxation,High,1.7,350.0,,,,,,,
Hampi,West Bengal,Hill Station,All Year,Relaxation,Medium,8.03663186225041,66.0,,,,,,,
Varanasi,Kerala,Wildlife,Winter,Relaxation,Low,4.0,391.0,,,,,,,
Udaipur,Karnataka,Hill Station,Summer,Cultural Tour,Medium,1.6,48.0,,,,,,,
Agra,Sikkim,Hill Station,All Year,Trekking,meduim,2.8,481.0,,,,,,,
Mysore,Goa,Adventure,All Year,Sightseeing,High,2.9,298.0,,,,,,,
Hampi,Meghalaya,Adventure,Monsoon,Water Sports,High,1.8,452.0,,,,,,,
Rishikesh,Rajasthan,Adventure,All Year,Water Sports,High,1.5,27.0,,,,,,,
Amritsar,Uttarakhand,Spiritual,Summer,Wildlife Safari,Low,4.3,449.0,,,,,,,
Haridwar,Uttarakhand,Hill Station,Winter,Relaxation,meduim,3.0,229.0,,,,,,,
Pondicherry,Uttarakhand,Heritage,Monsoon,Relaxation,High,1.1,322.0,,,,,,,
Kedarnath,Uttar Pradesh,Wildlife,All Year,Relaxation,Low,4.2,253.0,,,,,,,
Darjeeling,Uttar Pradesh,Adventure,All Year,Water Sports,Low,4.9,361.0,,,,,,,
,Uttarakhand,Adventure,All Year,Wildlife Safari,Medium,3.4,469.0,,,,,,,
Varanasi,Tamil Nadu,Wildlife,Summer,Trekking,High,3.0,313.0,,,,,,,
Andaman,Uttar Pradesh,Wildlife,Monsoon,Cultural Tour,Low,4.5,307.0,,,,,,,
Sikkim,West Bengal,Hll Station,Summer,Sightseeing,Medium,4.8,292.0,,,,,,,
Sikkim,Tamil Nadu,Adventure,Monsoon,Trekking,High,4.0,83.0,,,,,,,
Shillong,Kerala,Wildlife,Winter,Water Sports,Medium,2.8,119.0,,,,,,,
Ladakh,Uttar Pradesh,Spiritual,Summer,Cultural Tour,meduim,3.4,189.0,,,,,,,
Amritsar,Meghalaya,Spiritual,Summer,Cultural Tour,Low,3.8,435.0,,,,,,,
Badrinath,Tamil Nadu,Adventure,Winter,Cultural Tour,Low,1.8,41.0,,,,,,,
Chennai,Uttar Pradesh,Wildlife,Monsoon,Relaxation,Low,2.8,243.0,,,,,,,
Haridwar,Uttar Pradesh,Hill Station,All Year,Sightseeing,Medium,4.3,291.0,,,,,,,
Munnar,Rajasthan,Hill Station,Winter,Water Sports,Low,3.6,34.0,,,,,,,
Manali,Sikkim,Hill Station,All Year,Water Sports,Medium,2.6,340.0,,,,,,,
Kolkata,Rajasthan,Beach,All Year,Cultural Tour,Medium,3.7,288.0,,,,,,,
,Tamil Nadu,Adventure,Winter,Water Sports,Low,1.5,235.0,,,,,,,
Andaman,Kerala,Hill Station,Monsoon,Sightseeing,High,2.6,66.0,,,,,,,
Jaisalmer,Uttarakhand,Hll Station,All Year,Sightseeing,High,4.2,189.0,,,,,,,
Manali,Sikkim,Wildlife,Winter,Wildlife Safari,High,1.9,241.0,,,,,,,
Ranthambore,Uttarakhand,Heritage,Summer,Wildlife Safari,Medium,1.7,391.0,,,,,,,
Pondicherry,Tamil Nadu,Heritage,Summer,Trekking,Medium,4.8,352.0,,,,,,,
Kolkata,Himachal Pradesh,Hill Station,Summer,Sightseeing,Medium,1.8,486.0,,,,,,,
Ooty,Karnataka,Heritage,Winter,Sightseeing,meduim,2.0,296.0,,,,,,,
Mussoorie,Uttar Pradesh,Heritage,Summer,Sightseeing,Medium,4.9,73.0,,,,,,,
Ladakh,Tamil Nadu,Beach,All Year,Wildlife Safari,Low,3.9,464.0,,,,,,,
Shillong,West Bengal,Spiritual,Summer,Cultural Tour,Low,3.8,241.0,,,,,,,
Pondicherry,Uttarakhand,Spiritual,Summer,Cultural Tour,High,4.4,298.0,,,,,,,
Mysore,Rajasthan,Beach,All Year,Water Sports,High,1.5,222.0,,,,,,,
Kerala,Sikkim,Beach,Summer,Cultural Tour,High,3.8,267.0,,,,,,,
,Tamil Nadu,Heritage,All Year,Relaxation,Low,3.0,27.0,,,,,,,
Jaipur,Tamil Nadu,Adventure,Summer,Wildlife Safari,Low,4.3,184.0,,,,,,,
Kerala,Uttarakhand,Wildlife,All Year,Sightseeing,Low,3.0,426.0,,,,,,,
Amritsar,Tamil Nadu,Wildlife,Summer,Cultural Tour,Medium,3.5,238.0,,,,,,,
Udaipur,Uttarakhand,Heritage,All Year,Wildlife Safari,Low,2.9,235.0,,,,,,,
Agra,Himachal Pradesh,Wildlife,Winter,Cultural Tour,High,2.9,93.0,,,,,,,
Agra,Tamil Nadu,Beach,All Year,Trekking,High,4.1,300.0,,,,,,,
Agra,Uttar Pradesh,Spiritual,Summer,Sightseeing,Low,3.5,444.0,,,,,,,
Andaman,Kerala,Hll Station,Summer,Trekking,Low,3.5,379.0,,,,,,,
Mussoorie,Tamil Nadu,Heritage,Monsoon,Sightseeing,High,2.8,255.0,,,,,,,
Varanasi,Puducherry,Hll Station,All Year,Wildlife Safari,Low,3.1,411.0,,,,,,,
Agra,Himachal Pradesh,Heritage,Winter,Water Sports,meduim,4.0,119.0,,,,,,,
Munnar,Uttar Pradesh,Hill Station,All Year,Cultural Tour,Medium,4.3,263.0,,,,,,,
Haridwar,Rajasthan,Heritage,All Year,Cultural Tour,High,7.2257693462009716,97.0,,,,,,,
Shillong,Sikkim,Beach,Winter,Relaxation,Medium,4.7,81.0,,,,,,,
Agra,Kerala,Hll Station,All Year,Trekking,Low,4.3,390.0,,,,,,,
Badrinath,Himachal Pradesh,Spiritual,Winter,Cultural Tour,Low,3.2,39.0,,,,,,,
Amritsar,Rajasthan,Wildlife,Winter,Wildlife Safari,Medium,8.52446811156894,181.0,,,,,,,
Mussoorie,Uttar Pradesh,Beach,All Year,Water Sports,Low,4.7,318.0,,,,,,,
Kedarnath,Puducherry,Hill Station,All Year,Wildlife Safari,Medium,3.5,403.0,,,,,,,
Ladakh,Rajasthan,Beach,Summer,Trekking,Low,4.3,352.0,,,,,,,
,Meghalaya,Heritage,Summer,Relaxation,meduim,3.8,445.0,,,,,,,
Kedarnath,Sikkim,Beach,Monsoon,Cultural Tour,Low,3.2,186.0,,,,,,,
Sikkim,Rajasthan,Beach,Monsoon,Wildlife Safari,High,2.0,148.0,,,,,,,
,Himachal Pradesh,Hill Station,All Year,Sightseeing,High,2.7,203.0,,,,,,,
Badrinath,Uttar Pradesh,Heritage,Winter,Water Sports,Medium,9.382568366497686,195.0,,,,,,,
Varanasi,Uttarakhand,Adventure,Monsoon,Wildlife Safari,Low,3.6,227.0,,,,,,,
,Uttarakhand,Adventure,All Year,Water Sports,Medium,3.3,173.0,,,,,,,
Shimla,Tamil Nadu,Spiritual,Monsoon,Cultural Tour,Low,4.7,170.0,,,,,,,
Kerala,Rajasthan,Wildlife,Winter,Sightseeing,High,3.3,440.0,,,,,,,
Jaisalmer,Uttarakhand,Beach,All Year,Relaxation,meduim,3.1,22.0,,,,,,,
,Rajasthan,Spiritual,Winter,Relaxation,Low,4.0,305.0,,,,,,,
,Uttarakhand,Hill Station,All Year,Sightseeing,Low,3.9,98.0,,,,,,,
Hampi,Uttar Pradesh,Adventure,Monsoon,Water Sports,Medium,1.8,333.0,,,,,,,
Kolkata,Uttarakhand,Beach,Summer,Cultural Tour,Low,2.9,51.0,,,,,,,
Shillong,Rajasthan,Hill Station,Monsoon,Wildlife Safari,Low,2.9,412.0,,,,,,,
,Uttarakhand,Wildlife,Monsoon,Sightseeing,Low,2.5,219.0,,,,,,,
Hampi,Goa,Hill Station,Summer,Trekking,Medium,3.1,238.0,,,,,,,
Mussoorie,Ladakh,Beach,Summer,Water Sports,meduim,2.7,359.0,,,,,,,
,West Bengal,Wildlife,All Year,Relaxation,High,1.8,284.0,,,,,,,
Mussoorie,Delhi,Hill Station,All Year,Sightseeing,Medium,2.6,451.0,,,,,,,
Varanasi,Uttar Pradesh,Wildlife,Winter,Relaxation,meduim,1.3,288.0,,,,,,,
Prayagraj,Goa,Hll Station,Winter,Water Sports,High,3.3,260.0,,,,,,,
Manali,Karnataka,Beach,Monsoon,Relaxation,High,4.4,319.0,,,,,,,
Hampi,Andaman & Nicobar,Wildlife,Summer,Sightseeing,High,3.9,217.0,,,,,,,
Varanasi,Uttar Pradesh,Heritage,Winter,Water Sports,Low,2.4,330.0,,,,,,,
Munnar,Uttarakhand,Spiritual,Monsoon,Trekking,High,1.3,149.0,,,,,,,
Kedarnath,Delhi,Hill Station,Summer,Sightseeing,Low,1.8,289.0,,,,,,,
Haridwar,West Bengal,Hill Station,All Year,Wildlife Safari,Medium,3.2,43.0,,,,,,,
Shillong,Himachal Pradesh,Heritage,Monsoon,Cultural Tour,Medium,1.8,318.0,,,,,,,
Amritsar,Tamil Nadu,Heritage,All Year,Sightseeing,High,9.20214442050699,401.0,,,,,,,
Kerala,Andaman & Nicobar,Heritage,Winter,Water Sports,Low,1.9,27.0,,,,,,,
Shillong,Rajasthan,Hll Station,Winter,Cultural Tour,High,4.4,66.0,,,,,,,
Ooty,Rajasthan,Adventure,Summer,Sightseeing,High,2.6,121.0,,,,,,,
Ladakh,Karnataka,Wildlife,Monsoon,Trekking,Low,2.0,14.0,,,,,,,
Agra,Delhi,Adventure,All Year,Trekking,High,7.650712993516597,419.0,,,,,,,
Shillong,Uttarakhand,Beach,Summer,Wildlife Safari,Medium,2.4,423.0,,,,,,,
Haridwar,Andaman & Nicobar,Wildlife,Winter,Relaxation,High,1.4,191.0,,,,,,,
Mussoorie,Karnataka,Hill Station,Winter,Cultural Tour,Low,3.3,22.0,,,,,,,
Jaipur,Uttarakhand,Spiritual,Monsoon,Water Sports,Low,3.3,348.0,,,,,,,
Andaman,Uttar Pradesh,Beach,All Year,Water Sports,Medium,3.9,294.0,,,,,,,
Delhi,Uttarakhand,Hill Station,Monsoon,Relaxation,Low,2.0,268.0,,,,,,,
Kedarnath,Uttar Pradesh,Hill Station,All Year,Trekking,Low,2.8,99.0,,,,,,,
Amritsar,Rajasthan,Wildlife,All Year,Trekking,Medium,2.1,113.0,,,,,,,
Varanasi,Karnataka,Heritage,Monsoon,Sightseeing,High,1.3,388.0,,,,,,,
Sikkim,Himachal Pradesh,Heritage,Summer,Wildlife Safari,Medium,4.5,195.0,,,,,,,
Goa,Rajasthan,Beach,Monsoon,Cultural Tour,High,3.9,259.0,,,,,,,
Varanasi,Rajasthan,Heritage,Monsoon,Wildlife Safari,Medium,2.2,264.0,,,,,,,
Hampi,Uttarakhand,Hill Station,Winter,Wildlife Safari,High,3.4,85.0,,,,,,,
Hampi,Punjab,Heritage,Winter,Sightseeing,Medium,1.8,395.0,,,,,,,
Ladakh,Uttar Pradesh,Adventure,Monsoon,Wildlife Safari,High,4.6,468.0,,,,,,,
Udaipur,Ladakh,Heritage,Monsoon,Relaxation,Medium,1.5,117.0,,,,,,,
Varanasi,Rajasthan,Hill Station,Winter,Sightseeing,High,1.0,165.0,,,,,,,
Ladakh,Rajasthan,Wildlife,All Year,Relaxation,Medium,3.0,91.0,,,,,,,
Rishikesh,Puducherry,Beach,Monsoon,Sightseeing,Low,3.3,86.0,,,,,,,
,Meghalaya,Hll Station,Summer,Wildlife Safari,High,3.3,494.0,,,,,,,
Manali,Uttar Pradesh,Heritage,Summer,Relaxation,Medium,1.2,479.0,,,,,,,
Rajasthan,Ladakh,Hill Station,Summer,Relaxation,High,2.3,469.0,,,,,,,
,Tamil Nadu,Hll Station,Monsoon,Relaxation,High,3.0,267.0,,,,,,,
Varanasi,Rajasthan,Hll Station,All Year,Sightseeing,Medium,1.9,136.0,,,,,,,
Udaipur,Uttarakhand,Adventure,All Year,Water Sports,High,4.5,494.0,,,,,,,
Delhi,Kerala,Spiritual,Winter,Wildlife Safari,Medium,1.3,400.0,,,,,,,
Kolkata,Rajasthan,Wildlife,Monsoon,Relaxation,Low,2.9,291.0,,,,,,,
Chennai,Rajasthan,Hill Station,All Year,Cultural Tour,meduim,3.8,483.0,,,,,,,
Andaman,Rajasthan,Hill Station,Monsoon,Water Sports,Low,2.0,97.0,,,,,,,
Agra,Delhi,Heritage,Winter,Cultural Tour,High,3.5,213.0,,,,,,,
