Budget_Level,User_Age_Group,Destination,State,Category,Rating,Preferred_Activity,Season_Preference,Preferred_Travel_Type
High,50+,Kolkata,West Bengal,Urban,3.0,Relaxation,Spring,Couple
Low,26-35,Delhi,Delhi,Beach,4.1,Trekking,Winter,Family
Medium,36-50,Jaipur,Rajasthan,Heritage,4.1,Trekking,Winter,Family
High,18-25,Manali,Himachal Pradesh,Urban,1.6,Sightseeing,Winter,Friends
Low,26-35,Darjeeling,West Bengal,Heritage,3.9,Trekking,Autumn,Family
Medium,50+,Mysore,Karnataka,Beach,3.7,Relaxation,Autumn,Group
Medium,18-25,Leh,Ladakh,Heritage,4.9,Wildlife,Monsoon,Solo
Medium,18-25,Shimla,Himachal Pradesh,Urban,4.9,Water Sports,Autumn,Group
Medium,36-50,Hyderabad,Telangana,Heritage,2.8,Pilgrimage,Winter,Friends
Medium,50+,Bangalore,Karnataka,Hill Station,3.6,Pilgrimage,Autumn,Friends
Low,50+,Shimla,Himachal Pradesh,Adventure,2.0,Relaxation,Autumn,Family
Medium,50+,Udaipur,Rajasthan,Adventure,1.7,Wildlife,Spring,Couple
High,36-50,Hyderabad,Telangana,Spiritual,3.0,Relaxation,Winter,Family
Medium,18-25,Delhi,Delhi,Spiritual,3.9,Wildlife,Summer,Group
High,36-50,Mumbai,Maharashtra,Adventure,3.5,Water Sports,Spring,Group
Medium,26-35,Hyderabad,Telangana,Spiritual,3.0,Water Sports,Summer,Family
Medium,26-35,Shimla,Himachal Pradesh,Adventure,4.4,Water Sports,Monsoon,Couple
Low,50+,Mumbai,Maharashtra,Adventure,4.3,Water Sports,Spring,Couple
High,18-25,Mysore,Karnataka,Urban,4.1,Relaxation,Autumn,Friends
Medium,18-25,Chennai,Tamil Nadu,Urban,1.8,Water Sports,Autumn,Group
High,18-25,Varanasi,Uttar Pradesh,Beach,4.3,Trekking,Spring,Couple
Medium,26-35,Hyderabad,Telangana,Adventure,4.7,Pilgrimage,Autumn,Group
Medium,50+,Kolkata,West Bengal,Heritage,1.7,Sightseeing,Monsoon,Solo
Low,50+,Mussoorie,Uttarakhand,Urban,2.9,Pilgrimage,Spring,Friends
Low,36-50,Shimla,Himachal Pradesh,Urban,5.0,Pilgrimage,Winter,Solo
Low,50+,Udaipur,Rajasthan,Urban,3.6,Wildlife,Summer,Couple
High,26-35,Chennai,Tamil Nadu,Beach,3.3,Relaxation,Monsoon,Friends
Low,26-35,Jaipur,Rajasthan,Adventure,2.1,Trekking,Monsoon,Solo
Low,18-25,Mysore,Karnataka,Adventure,3.5,Trekking,Monsoon,Friends
Medium,36-50,Shimla,Himachal Pradesh,Adventure,3.0,Water Sports,Monsoon,Friends
Medium,26-35,Ooty,Tamil Nadu,Heritage,1.9,Water Sports,Autumn,Friends
Low,26-35,Udaipur,Rajasthan,Heritage,3.1,Wildlife,Monsoon,Family
Medium,26-35,Manali,Himachal Pradesh,Heritage,2.1,Pilgrimage,Spring,Friends
Medium,18-25,Rishikesh,Uttarakhand,Hill Station,4.1,Wildlife,Monsoon,Group
Medium,18-25,Hyderabad,Telangana,Spiritual,4.9,Water Sports,Winter,Family
Low,18-25,Agra,Uttar Pradesh,Beach,3.1,Relaxation,Spring,Family
Medium,26-35,Ooty,Tamil Nadu,Hill Station,3.7,Sightseeing,Summer,Group
Medium,36-50,Sikkim,Sikkim,Urban,3.0,Pilgrimage,Monsoon,Family
High,26-35,Bangalore,Karnataka,Hill Station,2.0,Wildlife,Summer,Couple
Medium,18-25,Kolkata,West Bengal,Hill Station,4.9,Relaxation,Autumn,Family
High,36-50,Kolkata,West Bengal,Hill Station,2.0,Pilgrimage,Spring,Family
Low,50+,Agra,Uttar Pradesh,Adventure,1.9,Wildlife,Summer,Family
Medium,36-50,Darjeeling,West Bengal,Adventure,3.1,Trekking,Monsoon,Family
Low,18-25,Sikkim,Sikkim,Adventure,3.8,Pilgrimage,Autumn,Solo
High,26-35,Shimla,Himachal Pradesh,Urban,2.7,Sightseeing,Monsoon,Solo
High,50+,Hyderabad,Telangana,Hill Station,2.2,Wildlife,Winter,Group
Medium,36-50,Kerala,Kerala,Beach,4.4,Pilgrimage,Winter,Group
High,50+,Rishikesh,Uttarakhand,Heritage,2.8,Wildlife,Monsoon,Group
High,50+,Mussoorie,Uttarakhand,Hill Station,2.2,Pilgrimage,Monsoon,Solo
Low,36-50,Mumbai,Maharashtra,Heritage,2.8,Relaxation,Autumn,Group
High,36-50,Agra,Uttar Pradesh,Adventure,2.3,Trekking,Winter,Couple
Low,50+,Chennai,Tamil Nadu,Hill Station,3.3,Pilgrimage,Autumn,Couple
High,36-50,Sikkim,Sikkim,Heritage,3.8,Relaxation,Winter,Family
Medium,36-50,Shimla,Himachal Pradesh,Heritage,4.3,Wildlife,Autumn,Solo
Low,26-35,Mumbai,Maharashtra,Adventure,2.3,Pilgrimage,Winter,Solo
High,50+,Goa,Goa,Urban,2.1,Water Sports,Summer,Couple
Low,26-35,Ooty,Tamil Nadu,Urban,1.6,Trekking,Summer,Couple
High,18-25,Ooty,Tamil Nadu,Heritage,2.3,Water Sports,Monsoon,Solo
Medium,36-50,Agra,Uttar Pradesh,Spiritual,1.6,Water Sports,Monsoon,Group
High,18-25,Leh,Ladakh,Spiritual,2.7,Water Sports,Winter,Family
Low,36-50,Delhi,Delhi,Beach,2.0,Wildlife,Winter,Group
High,36-50,Agra,Uttar Pradesh,Urban,3.5,Relaxation,Monsoon,Group
High,18-25,Andaman,Andaman & Nicobar,Urban,2.8,Wildlife,Autumn,Solo
Medium,26-35,Shimla,Himachal Pradesh,Beach,1.8,Water Sports,Autumn,Couple
Medium,26-35,Mysore,Karnataka,Adventure,2.9,Sightseeing,Summer,Family
Medium,18-25,Darjeeling,West Bengal,Hill Station,2.2,Water Sports,Winter,Group
High,36-50,Agra,Uttar Pradesh,Heritage,3.9,Pilgrimage,Autumn,Friends
Low,36-50,Ooty,Tamil Nadu,Heritage,2.8,Wildlife,Spring,Couple
High,50+,Hyderabad,Telangana,Hill Station,2.0,Trekking,Spring,Friends
Low,36-50,Delhi,Delhi,Heritage,2.7,Sightseeing,Autumn,Group
Low,18-25,Bangalore,Karnataka,Spiritual,2.3,Sightseeing,Spring,Group
Medium,36-50,Ooty,Tamil Nadu,Hill Station,4.3,Water Sports,Summer,Friends
High,50+,Leh,Ladakh,Spiritual,4.9,Trekking,Monsoon,Group
High,50+,Goa,Goa,Heritage,1.6,Relaxation,Monsoon,Friends
High,50+,Hyderabad,Telangana,Adventure,3.9,Sightseeing,Monsoon,Couple
Low,26-35,Kolkata,West Bengal,Beach,2.4,Sightseeing,Summer,Group
Medium,50+,Udaipur,Rajasthan,Hill Station,1.7,Relaxation,Winter,Friends
Medium,26-35,Kolkata,West Bengal,Spiritual,1.6,Trekking,Monsoon,Solo
Medium,50+,Andaman,Andaman & Nicobar,Beach,4.6,Relaxation,Monsoon,Friends
Low,50+,Leh,Ladakh,Spiritual,2.7,Relaxation,Spring,Family
Medium,36-50,Udaipur,Rajasthan,Adventure,5.0,Relaxation,Winter,Solo
High,50+,Darjeeling,West Bengal,Beach,3.0,Relaxation,Monsoon,Family
Low,50+,Ooty,Tamil Nadu,Spiritual,2.2,Pilgrimage,Autumn,Solo
High,26-35,Ooty,Tamil Nadu,Heritage,4.2,Water Sports,Autumn,Group
Medium,36-50,Ooty,Tamil Nadu,Spiritual,4.7,Trekking,Summer,Family
High,50+,Andaman,Andaman & Nicobar,Urban,4.4,Wildlife,Autumn,Friends
Low,18-25,Manali,Himachal Pradesh,Heritage,4.1,Pilgrimage,Spring,Solo
High,18-25,Mysore,Karnataka,Adventure,2.7,Trekking,Monsoon,Couple
Low,36-50,Kerala,Kerala,Spiritual,1.7,Water Sports,Summer,Solo
High,50+,Agra,Uttar Pradesh,Spiritual,2.2,Sightseeing,Monsoon,Solo
Medium,,Kolkata,West Bengal,Beach,3.1,Pilgrimage,Monsoon,Solo
Low,18-25,Chennai,Tamil Nadu,Heritage,4.8,Trekking,Winter,Family
Low,18-25,Darjeeling,West Bengal,Heritage,4.0,Wildlife,Winter,Group
Low,18-25,Udaipur,Rajasthan,Adventure,4.4,Wildlife,Monsoon,Solo
Medium,36-50,Jaipur,Rajasthan,Spiritual,2.5,Pilgrimage,Spring,Friends
Medium,50+,Rishikesh,Uttarakhand,Heritage,3.9,Relaxation,Monsoon,Solo
Medium,36-50,Jaipur,Rajasthan,Urban,4.5,Wildlife,Summer,Family
High,26-35,Kolkata,West Bengal,Urban,3.2,Wildlife,Autumn,Solo
Medium,18-25,Manali,Himachal Pradesh,Spiritual,3.0,Relaxation,Monsoon,Friends
High,26-35,Hyderabad,Telangana,Spiritual,4.0,Relaxation,Autumn,Friends
Medium,26-35,Agra,Uttar Pradesh,Urban,3.5,Wildlife,Summer,Group
High,18-25,Mumbai,Maharashtra,Beach,5.0,Relaxation,Monsoon,Friends
High,18-25,Udaipur,Rajasthan,Urban,3.0,Pilgrimage,Monsoon,Solo
Medium,18-25,Jaipur,Rajasthan,Urban,2.1,Sightseeing,Summer,Couple
Medium,36-50,Darjeeling,West Bengal,Urban,3.2,Wildlife,Spring,Family
Medium,50+,Varanasi,Uttar Pradesh,Adventure,2.3,Wildlife,Summer,Solo
Low,36-50,Jaipur,Rajasthan,Spiritual,3.5,Water Sports,Winter,Friends
High,26-35,Leh,Ladakh,Adventure,1.9,Wildlife,Spring,Solo
High,26-35,Jaipur,Rajasthan,Heritage,4.8,Wildlife,Autumn,Friends
High,50+,Shimla,Himachal Pradesh,Spiritual,4.5,Water Sports,Monsoon,Solo
Medium,36-50,Leh,Ladakh,Heritage,2.0,Sightseeing,Spring,Friends
Medium,26-35,Udaipur,Rajasthan,Beach,2.1,Wildlife,Autumn,Couple
Low,26-35,Chennai,Tamil Nadu,Adventure,3.3,Relaxation,Spring,Group
Low,50+,Agra,Uttar Pradesh,Adventure,4.2,Wildlife,Autumn,Couple
Low,50+,Varanasi,Uttar Pradesh,Urban,2.3,Relaxation,Winter,Solo
High,36-50,Shimla,Himachal Pradesh,Urban,1.7,Trekking,Autumn,Family
Medium,36-50,Rishikesh,Uttarakhand,Heritage,3.4,Relaxation,Monsoon,Couple
High,26-35,Jaipur,Rajasthan,Beach,3.9,Relaxation,Monsoon,Couple
High,50+,Leh,Ladakh,Heritage,2.4,Trekking,Autumn,Solo
High,26-35,Varanasi,Uttar Pradesh,Heritage,4.1,Water Sports,Winter,Couple
High,18-25,Sikkim,Sikkim,Heritage,4.8,Pilgrimage,Spring,Family
Low,50+,Kerala,Kerala,Urban,2.0,Water Sports,Monsoon,Group
Medium,36-50,Udaipur,Rajasthan,Urban,3.3,Relaxation,Autumn,Solo
Low,50+,Agra,Uttar Pradesh,Beach,1.7,Sightseeing,Autumn,Friends
High,50+,Kerala,Kerala,Spiritual,2.2,Trekking,Autumn,Group
Low,18-25,Darjeeling,West Bengal,Urban,1.8,Water Sports,Winter,Friends
High,26-35,Bangalore,Karnataka,Hill Station,2.9,Relaxation,Autumn,Couple
High,18-25,Jaipur,Rajasthan,Beach,4.4,Water Sports,Monsoon,Couple
Low,36-50,Darjeeling,West Bengal,Adventure,3.5,Sightseeing,Winter,Friends
Medium,36-50,Mussoorie,Uttarakhand,Heritage,2.3,Wildlife,Spring,Friends
High,50+,Ooty,Tamil Nadu,Spiritual,1.6,Water Sports,Winter,Solo
Medium,50+,Shimla,Himachal Pradesh,Spiritual,3.4,Relaxation,Spring,Solo
Medium,26-35,Darjeeling,West Bengal,Beach,2.0,Trekking,Summer,Family
Low,50+,Jaipur,Rajasthan,Urban,2.7,Relaxation,Winter,Couple
High,50+,Mumbai,Maharashtra,Urban,3.3,Wildlife,Winter,Couple
Low,18-25,Mysore,Karnataka,Hill Station,4.7,Wildlife,Summer,Couple
Low,36-50,Rishikesh,Uttarakhand,Adventure,1.8,Water Sports,Spring,Friends
Medium,36-50,Mussoorie,Uttarakhand,Adventure,3.8,Sightseeing,Winter,Friends
Low,26-35,Kolkata,West Bengal,Beach,4.4,Wildlife,Spring,Friends
High,36-50,Udaipur,Rajasthan,Spiritual,3.4,Relaxation,Spring,Friends
Low,50+,Rishikesh,Uttarakhand,Heritage,4.3,Sightseeing,Summer,Couple
Low,,Kolkata,West Bengal,Adventure,3.4,Relaxation,Summer,Couple
High,26-35,Chennai,Tamil Nadu,Adventure,2.7,Sightseeing,Summer,Family
High,18-25,Shimla,Himachal Pradesh,Adventure,2.3,Trekking,Summer,Friends
Low,36-50,Kolkata,West Bengal,Hill Station,1.8,Sightseeing,Summer,Group
High,18-25,Manali,Himachal Pradesh,Heritage,3.4,Trekking,Monsoon,Family
Low,50+,Leh,Ladakh,Heritage,4.6,Wildlife,Summer,Group
Low,50+,Delhi,Delhi,Hill Station,3.3,Pilgrimage,Winter,Solo
Low,50+,Sikkim,Sikkim,Spiritual,4.1,Sightseeing,Spring,Solo
Low,36-50,Ooty,Tamil Nadu,Adventure,2.5,Wildlife,Spring,Couple
Medium,26-35,Leh,Ladakh,Heritage,3.1,Sightseeing,Spring,Family
Low,50+,Udaipur,Rajasthan,Beach,2.6,Pilgrimage,Autumn,Family
Medium,26-35,Jaipur,Rajasthan,Heritage,1.9,Water Sports,Monsoon,Family
High,,Darjeeling,West Bengal,Adventure,3.0,Water Sports,Winter,Family
High,18-25,Ooty,Tamil Nadu,Spiritual,4.2,Trekking,Spring,Couple
Low,50+,Hyderabad,Telangana,Urban,2.9,Wildlife,Spring,Family
High,26-35,Andaman,Andaman & Nicobar,Urban,3.8,Trekking,Monsoon,Solo
Medium,36-50,Kerala,Kerala,Spiritual,4.2,Relaxation,Autumn,Solo
Medium,36-50,Udaipur,Rajasthan,Heritage,2.6,Wildlife,Autumn,Friends
Low,18-25,Delhi,Delhi,Heritage,4.3,Pilgrimage,Summer,Couple
Medium,50+,Kolkata,West Bengal,Spiritual,2.7,Relaxation,Winter,Couple
,50+,Agra,Uttar Pradesh,Beach,2.4,Relaxation,Monsoon,Friends
Low,50+,Mysore,Karnataka,Adventure,2.3,Sightseeing,Winter,Solo
Medium,36-50,Sikkim,Sikkim,Adventure,2.2,Sightseeing,Autumn,Couple
Low,36-50,Sikkim,Sikkim,Adventure,4.1,Trekking,Summer,Solo
Low,36-50,Andaman,Andaman & Nicobar,Beach,4.6,Trekking,Winter,Family
Medium,36-50,Goa,Goa,Beach,0.6,Relaxation,Summer,Couple
High,26-35,Mumbai,Maharashtra,Adventure,2.6,Pilgrimage,Summer,Solo
High,18-25,Andaman,Andaman & Nicobar,Spiritual,3.8,Pilgrimage,Spring,Couple
Low,50+,Sikkim,Sikkim,Heritage,2.8,Water Sports,Spring,Solo
Medium,26-35,Chennai,Tamil Nadu,Hill Station,3.4,Relaxation,Spring,Group
High,26-35,Andaman,Andaman & Nicobar,Beach,4.1,Water Sports,Spring,Group
Medium,26-35,Rishikesh,Uttarakhand,Heritage,2.9,Wildlife,Winter,Group
High,36-50,Varanasi,Uttar Pradesh,Spiritual,5.0,Trekking,Spring,Couple
High,50+,Goa,Goa,Urban,2.5,Water Sports,Winter,Couple
Low,50+,Bangalore,Karnataka,Adventure,4.9,Water Sports,Spring,Friends
Low,26-35,Udaipur,Rajasthan,Urban,2.2,Water Sports,Autumn,Friends
High,26-35,Leh,Ladakh,Beach,1.9,Sightseeing,Autumn,Family
High,26-35,Ooty,Tamil Nadu,Hill Station,4.1,Trekking,Autumn,Couple
High,26-35,Hyderabad,Telangana,Adventure,4.0,Wildlife,Autumn,Family
High,18-25,Jaipur,Rajasthan,Urban,4.3,Trekking,Winter,Group
Medium,18-25,Kerala,Kerala,Urban,2.7,Trekking,Spring,Friends
High,,Varanasi,Uttar Pradesh,Spiritual,4.8,Wildlife,Winter,Friends
High,36-50,Hyderabad,Telangana,Hill Station,1.9,Relaxation,Winter,Group
High,18-25,Leh,Ladakh,Hill Station,1.6,Trekking,Monsoon,Couple
Low,50+,Chennai,Tamil Nadu,Adventure,2.6,Relaxation,Monsoon,Group
High,50+,Chennai,Tamil Nadu,Beach,4.3,Sightseeing,Summer,Solo
Medium,50+,Kerala,Kerala,Spiritual,3.9,Water Sports,Summer,Group
Medium,36-50,Goa,Goa,Beach,3.0,Relaxation,Monsoon,Group
Low,36-50,Rishikesh,Uttarakhand,Spiritual,2.4,Sightseeing,Spring,Group
Medium,50+,Chennai,Tamil Nadu,Spiritual,1.7,Wildlife,Monsoon,Group
Medium,50+,Andaman,Andaman & Nicobar,Urban,2.7,Water Sports,Spring,Couple
High,26-35,Mussoorie,Uttarakhand,Heritage,3.1,Relaxation,Winter,Solo
Medium,50+,Delhi,Delhi,Urban,3.9,Relaxation,Spring,Solo
High,26-35,Kolkata,West Bengal,Beach,3.8,Trekking,Winter,Solo
Low,18-25,Bangalore,Karnataka,Heritage,4.8,Water Sports,Monsoon,Solo
Medium,36-50,Kolkata,West Bengal,Adventure,1.9,Wildlife,Autumn,Couple
Low,36-50,Leh,Ladakh,Spiritual,2.7,Wildlife,Summer,Friends
Low,18-25,Mysore,Karnataka,Beach,3.2,Sightseeing,Winter,Family
Low,50+,Rishikesh,Uttarakhand,Spiritual,3.8,Relaxation,Summer,Friends
High,50+,Mumbai,Maharashtra,Heritage,3.2,Trekking,Summer,Solo
High,18-25,Manali,Himachal Pradesh,Heritage,4.7,Trekking,Spring,Couple
Low,18-25,Manali,Himachal Pradesh,Heritage,3.6,Relaxation,Autumn,Couple
Low,26-35,Leh,Ladakh,Beach,1.6,Trekking,Summer,Couple
Medium,18-25,Kerala,Kerala,Hill Station,1.9,Relaxation,Summer,Group
Medium,36-50,Andaman,Andaman & Nicobar,Spiritual,4.1,Wildlife,Spring,Group
Low,18-25,Mussoorie,Uttarakhand,Spiritual,4.0,Trekking,Monsoon,Couple
Medium,26-35,Darjeeling,West Bengal,Spiritual,2.0,Wildlife,Winter,Friends
High,26-35,Agra,Uttar Pradesh,Beach,1.7,Wildlife,Winter,Solo
,50+,Jaipur,Rajasthan,Adventure,3.5,Trekking,Summer,Group
Medium,18-25,Manali,Himachal Pradesh,Hill Station,3.7,Sightseeing,Summer,Solo
Low,36-50,Jaipur,Rajasthan,Hill Station,2.0,Trekking,Summer,Group
Medium,36-50,Jaipur,Rajasthan,Beach,3.2,Water Sports,Monsoon,Group
Medium,26-35,Goa,Goa,Adventure,2.6,Sightseeing,Winter,Family
High,50+,Hyderabad,Telangana,Urban,4.8,Sightseeing,Spring,Family
,50+,Mysore,Karnataka,Heritage,2.3,Relaxation,Spring,Couple
Low,36-50,Delhi,Delhi,Urban,4.1,Relaxation,Winter,Family
Medium,50+,Darjeeling,West Bengal,Hill Station,3.3,Trekking,Summer,Friends
Low,36-50,Chennai,Tamil Nadu,Hill Station,1.5,Pilgrimage,Monsoon,Solo
Medium,50+,Rishikesh,Uttarakhand,Beach,3.3,Trekking,Autumn,Friends
,26-35,Leh,Ladakh,Beach,1.8,Water Sports,Autumn,Friends
High,18-25,Darjeeling,West Bengal,Urban,3.8,Pilgrimage,Monsoon,Solo
Low,18-25,Udaipur,Rajasthan,Spiritual,3.5,Pilgrimage,Monsoon,Friends
High,26-35,Goa,Goa,Adventure,1.5,Relaxation,Summer,Friends
Low,36-50,Goa,Goa,Beach,2.2,Sightseeing,Summer,Friends
Medium,26-35,Hyderabad,Telangana,Urban,4.2,Wildlife,Autumn,Family
Low,36-50,Kerala,Kerala,Beach,2.5,Relaxation,Monsoon,Solo
Low,26-35,Udaipur,Rajasthan,Spiritual,3.2,Pilgrimage,Spring,Friends
High,26-35,Manali,Himachal Pradesh,Urban,2.6,Wildlife,Winter,Solo
High,18-25,Delhi,Delhi,Spiritual,4.7,Water Sports,Monsoon,Couple
Low,26-35,Darjeeling,West Bengal,Spiritual,3.4,Sightseeing,Monsoon,Friends
High,50+,Udaipur,Rajasthan,Heritage,3.9,Relaxation,Monsoon,Family
Low,50+,Andaman,Andaman & Nicobar,Adventure,1.8,Pilgrimage,Monsoon,Couple
Low,18-25,Agra,Uttar Pradesh,Adventure,1.6,Trekking,Summer,Couple
Low,26-35,Manali,Himachal Pradesh,Hill Station,2.4,Trekking,Monsoon,Friends
High,36-50,Delhi,Delhi,Adventure,2.6,Water Sports,Monsoon,Family
Low,26-35,Mumbai,Maharashtra,Spiritual,3.9,Pilgrimage,Monsoon,Friends
Low,36-50,Leh,Ladakh,Heritage,3.5,Water Sports,Autumn,Solo
Low,26-35,Goa,Goa,Beach,2.8,Wildlife,Autumn,Couple
Low,36-50,Jaipur,Rajasthan,Spiritual,3.8,Wildlife,Monsoon,Friends
High,50+,Mumbai,Maharashtra,Urban,2.1,Sightseeing,Summer,Group
